Date,Open,High,Low,Close,Volume,Adj Close
2017-04-26,1.94,1.95,1.91,1.91,6900,1.91
2017-04-25,1.90,1.98,1.85,1.89,14900,1.89
2017-04-24,1.88,1.97,1.87,1.97,9500,1.97
2017-04-21,1.86,1.91,1.85,1.91,25600,1.91
2017-04-20,1.95,2.01,1.86,1.86,45900,1.86
2017-04-19,1.77,2.29,1.74,1.95,358900,1.95
2017-04-18,1.69,1.69,1.58,1.65,21200,1.65
2017-04-17,1.68,1.68,1.55,1.61,8500,1.61
2017-04-13,1.67,1.71,1.62,1.71,3500,1.71
2017-04-12,1.74,1.74,1.68,1.70,6000,1.70
2017-04-11,1.83,1.83,1.71,1.71,13600,1.71
2017-04-10,1.81,1.81,1.67,1.73,11200,1.73
2017-04-07,1.81,1.82,1.66,1.82,11300,1.82
2017-04-06,1.71,1.84,1.71,1.80,15900,1.80
2017-04-05,1.75,1.75,1.75,1.75,1400,1.75
2017-04-04,1.63,1.80,1.62,1.72,25700,1.72
2017-04-03,1.70,1.76,1.68,1.71,15100,1.71
2017-03-31,1.70,1.74,1.70,1.70,2900,1.70
2017-03-30,1.75,1.75,1.71,1.72,2700,1.72
2017-03-29,1.69,1.78,1.69,1.72,11200,1.72
2017-03-28,1.69,1.70,1.67,1.69,12500,1.69
2017-03-27,1.70,1.72,1.69,1.70,4900,1.70
2017-03-24,1.68,1.71,1.67,1.67,400,1.67
2017-03-23,1.73,1.73,1.59,1.72,8500,1.72
2017-03-22,1.61,1.74,1.56,1.67,43700,1.67
2017-03-21,1.60,1.67,1.59,1.67,1500,1.67
2017-03-20,1.60,1.66,1.60,1.66,700,1.66
2017-03-17,1.72,1.72,1.60,1.60,3800,1.60
2017-03-16,1.67,1.73,1.67,1.70,6300,1.70
2017-03-15,1.66,1.70,1.56,1.65,17800,1.65
2017-03-14,1.62,1.65,1.51,1.62,19300,1.62
2017-03-13,1.60,1.65,1.57,1.57,13100,1.57
2017-03-10,1.65,1.72,1.46,1.56,35300,1.56
2017-03-09,1.67,1.68,1.67,1.68,2300,1.68
2017-03-08,1.68,1.72,1.67,1.67,20400,1.67
2017-03-07,1.65,1.69,1.65,1.67,8200,1.67
2017-03-06,1.70,1.70,1.61,1.63,7000,1.63
2017-03-03,1.65,1.74,1.49,1.73,35800,1.73
2017-03-02,1.65,1.65,1.61,1.64,2000,1.64
2017-03-01,1.55,1.68,1.55,1.67,13100,1.67
2017-02-28,1.63,1.67,1.55,1.66,20300,1.66
2017-02-27,1.53,1.65,1.53,1.65,12500,1.65
2017-02-24,1.58,1.58,1.54,1.55,3900,1.55
2017-02-23,1.50,1.54,1.44,1.53,39300,1.53
2017-02-22,1.45,1.83,1.45,1.53,159900,1.53
2017-02-21,1.43,1.44,1.42,1.42,2800,1.42
2017-02-17,1.43,1.43,1.43,1.43,000,1.43
2017-02-16,1.40,1.46,1.38,1.43,73600,1.43
2017-02-15,1.40,1.40,1.40,1.40,13400,1.40
2017-02-14,1.39,1.40,1.39,1.40,10300,1.40
2017-02-13,1.39,1.39,1.38,1.38,5800,1.38
2017-02-10,1.33,1.41,1.33,1.39,12300,1.39
2017-02-09,1.39,1.40,1.39,1.39,12400,1.39
2017-02-08,1.37,1.38,1.34,1.35,4200,1.35
2017-02-07,1.37,1.39,1.36,1.39,10800,1.39
2017-02-06,1.38,1.39,1.38,1.38,2100,1.38
2017-02-03,1.39,1.39,1.38,1.38,3100,1.38
2017-02-02,1.41,1.41,1.39,1.39,1900,1.39
2017-02-01,1.40,1.40,1.38,1.38,400,1.38
2017-01-31,1.39,1.39,1.38,1.38,600,1.38
2017-01-30,1.41,1.41,1.38,1.38,1100,1.38
2017-01-27,1.40,1.42,1.40,1.41,6300,1.41
2017-01-26,1.40,1.42,1.40,1.40,10700,1.40
2017-01-25,1.38,1.39,1.38,1.38,2300,1.38
2017-01-24,1.38,1.38,1.38,1.38,500,1.38
2017-01-23,1.37,1.39,1.37,1.37,7900,1.37
2017-01-20,1.39,1.40,1.39,1.39,6800,1.39
2017-01-19,1.37,1.39,1.37,1.39,600,1.39
2017-01-18,1.37,1.37,1.36,1.37,3900,1.37
2017-01-17,1.39,1.40,1.38,1.38,3200,1.38
2017-01-13,1.40,1.40,1.35,1.37,1200,1.37
2017-01-12,1.33,1.35,1.33,1.35,2500,1.35
2017-01-11,1.40,1.40,1.40,1.40,400,1.40
2017-01-10,1.40,1.40,1.36,1.38,4200,1.38
2017-01-09,1.40,1.40,1.36,1.40,9100,1.40
2017-01-06,1.38,1.40,1.38,1.39,600,1.39
2017-01-05,1.40,1.40,1.38,1.39,17900,1.39
2017-01-04,1.38,1.40,1.36,1.37,9300,1.37
2017-01-03,1.39,1.39,1.34,1.34,1000,1.34
2016-12-30,1.41,1.41,1.35,1.39,10300,1.39
2016-12-29,1.39,1.44,1.38,1.44,3300,1.44
2016-12-28,1.38,1.46,1.35,1.37,23200,1.37
2016-12-27,1.42,1.42,1.33,1.38,8600,1.38
2016-12-23,1.40,1.43,1.33,1.43,40500,1.43
2016-12-22,1.36,1.39,1.33,1.38,25300,1.38
2016-12-21,1.36,1.40,1.33,1.39,30800,1.39
2016-12-20,1.33,1.38,1.33,1.35,16600,1.35
2016-12-19,1.35,1.36,1.34,1.35,3000,1.35
2016-12-16,1.32,1.40,1.29,1.37,19500,1.37
2016-12-15,1.35,1.41,1.30,1.33,25300,1.33
2016-12-14,1.38,1.61,1.37,1.40,232400,1.40
2016-12-13,1.33,1.39,1.33,1.33,2700,1.33
2016-12-12,1.35,1.37,1.30,1.30,400,1.30
2016-12-09,1.31,1.36,1.26,1.35,26400,1.35
2016-12-08,1.34,1.35,1.29,1.29,39600,1.29
2016-12-07,1.38,1.38,1.30,1.32,2600,1.32
2016-12-06,1.31,1.36,1.29,1.32,15500,1.32
2016-12-05,1.29,1.30,1.29,1.30,4500,1.30
2016-12-02,1.29,1.31,1.28,1.29,52100,1.29
2016-12-01,1.30,1.31,1.29,1.31,4100,1.31
2016-11-30,1.30,1.31,1.28,1.28,8900,1.28
2016-11-29,1.32,1.32,1.28,1.29,10300,1.29
2016-11-28,1.32,1.33,1.30,1.31,27300,1.31
2016-11-25,1.33,1.33,1.32,1.32,1700,1.32
2016-11-23,1.29,1.33,1.29,1.33,2000,1.33
2016-11-22,1.30,1.33,1.30,1.31,3800,1.31
2016-11-21,1.33,1.33,1.29,1.32,14800,1.32
2016-11-18,1.37,1.37,1.26,1.32,21600,1.32
2016-11-17,1.28,1.73,1.28,1.28,232800,1.28
