Date,Open,High,Low,Close,Volume,Adj Close
2017-04-26,4.00,4.00,3.14,3.37,502400,3.37
2017-04-25,3.94,4.05,3.65,3.94,350600,3.94
2017-04-24,4.10,4.40,3.80,3.93,824300,3.93
2017-04-21,3.70,4.15,3.47,4.15,1358500,4.15
2017-04-20,3.33,4.18,3.33,3.59,1878800,3.59
2017-04-19,4.00,5.08,3.55,3.69,26866600,3.69
2017-04-18,2.51,2.75,2.42,2.57,100300,2.57
2017-04-17,2.48,2.75,2.38,2.68,207500,2.68
2017-04-13,2.65,2.65,2.40,2.49,62600,2.49
2017-04-12,2.46,2.69,2.36,2.60,40100,2.60
2017-04-11,2.58,2.59,2.35,2.38,59200,2.38
2017-04-10,2.49,2.62,2.37,2.52,44800,2.52
2017-04-07,2.35,2.52,2.25,2.42,46900,2.42
2017-04-06,2.37,2.65,2.30,2.36,54400,2.36
2017-04-05,2.48,2.50,2.31,2.35,37300,2.35
2017-04-04,2.50,2.67,2.36,2.41,67500,2.41
2017-04-03,2.65,2.79,2.49,2.50,82900,2.50
2017-03-31,2.75,2.87,2.55,2.70,65700,2.70
2017-03-30,2.90,3.06,2.75,2.80,164400,2.80
2017-03-29,2.68,3.18,2.60,2.90,462000,2.90
2017-03-28,2.68,2.68,2.42,2.68,64900,2.68
2017-03-27,2.47,2.47,2.28,2.45,33700,2.45
2017-03-24,2.27,2.45,2.27,2.36,11000,2.36
2017-03-23,2.36,2.49,2.16,2.41,22700,2.41
2017-03-22,2.34,2.42,2.30,2.35,21700,2.35
2017-03-21,2.50,2.59,2.33,2.35,28400,2.35
2017-03-20,2.62,2.69,2.51,2.54,45100,2.54
2017-03-17,3.03,3.03,2.64,2.70,96300,2.70
2017-03-16,2.68,2.98,2.50,2.98,152000,2.98
2017-03-15,2.79,2.80,2.60,2.68,79100,2.68
2017-03-14,2.85,2.92,2.57,2.71,72600,2.71
2017-03-13,2.50,3.08,2.50,2.94,324500,2.94
2017-03-10,2.35,2.88,2.33,2.61,964900,2.61
2017-03-09,2.16,2.37,2.14,2.33,77700,2.33
2017-03-08,2.08,2.16,2.06,2.13,10900,2.13
2017-03-07,2.10,2.10,2.02,2.08,29800,2.08
2017-03-06,2.11,2.25,2.08,2.10,28200,2.10
2017-03-03,2.02,2.14,2.02,2.10,22800,2.10
2017-03-02,2.09,2.09,2.02,2.07,45000,2.07
2017-03-01,1.98,2.16,1.98,2.09,37500,2.09
2017-02-28,2.18,2.18,1.98,1.98,38800,1.98
2017-02-27,2.11,2.16,1.95,1.99,33100,1.99
2017-02-24,2.11,2.15,1.90,2.03,98300,2.03
2017-02-23,2.40,2.44,2.08,2.14,179100,2.14
2017-02-22,2.24,2.92,2.24,2.38,1323000,2.38
2017-02-21,2.24,2.24,2.16,2.20,17600,2.20
2017-02-17,2.27,2.27,2.25,2.26,17900,2.26
2017-02-16,2.27,2.36,2.27,2.32,3400,2.32
2017-02-15,2.33,2.34,2.25,2.26,4900,2.26
2017-02-14,2.18,2.36,2.11,2.31,30600,2.31
2017-02-13,2.15,2.31,2.15,2.26,2200,2.26
2017-02-10,2.05,2.27,2.05,2.27,20900,2.27
2017-02-09,2.25,2.25,2.18,2.18,5400,2.18
2017-02-08,2.26,2.27,2.22,2.22,10100,2.22
2017-02-07,2.31,2.37,2.20,2.22,28700,2.22
2017-02-06,2.42,2.42,2.35,2.36,16900,2.36
2017-02-03,2.50,2.60,2.35,2.37,23100,2.37
2017-02-02,2.52,2.53,2.42,2.52,8900,2.52
2017-02-01,2.50,2.50,2.45,2.45,3500,2.45
2017-01-31,2.46,2.52,2.35,2.52,4400,2.52
2017-01-30,2.50,2.63,2.29,2.54,17200,2.54
2017-01-27,2.43,2.44,2.43,2.44,4200,2.44
2017-01-26,2.32,2.44,2.32,2.35,3900,2.35
2017-01-25,2.30,2.33,2.26,2.27,33400,2.27
2017-01-24,2.41,2.46,2.31,2.33,8700,2.33
2017-01-23,2.48,2.49,2.40,2.40,13800,2.40
2017-01-20,2.50,2.50,2.48,2.48,6800,2.48
2017-01-19,2.50,2.53,2.48,2.48,7300,2.48
2017-01-18,2.58,2.74,2.48,2.51,150400,2.51
2017-01-17,2.51,2.79,2.35,2.75,123100,2.75
2017-01-13,2.41,2.67,2.41,2.67,32700,2.67
2017-01-12,2.65,2.80,2.40,2.69,32300,2.69
2017-01-11,2.65,2.74,2.40,2.68,72900,2.68
2017-01-10,2.76,3.10,2.68,2.68,177800,2.68
2017-01-09,2.73,2.80,2.69,2.70,87000,2.70
2017-01-06,2.70,2.70,2.66,2.69,23600,2.69
2017-01-05,2.70,2.70,2.68,2.69,88100,2.69
2017-01-04,2.40,2.55,2.37,2.55,26800,2.55
2017-01-03,2.30,2.42,2.25,2.37,19000,2.37
2016-12-30,2.31,2.60,2.25,2.25,60800,2.25
2016-12-29,2.23,2.40,2.16,2.40,26500,2.40
2016-12-28,2.32,2.35,2.24,2.25,25200,2.25
2016-12-27,2.50,2.53,2.11,2.41,83800,2.41
2016-12-23,2.53,2.65,2.43,2.48,64400,2.48
2016-12-22,2.46,2.53,2.05,2.53,110200,2.53
2016-12-21,2.64,2.64,2.45,2.45,45000,2.45
2016-12-20,2.55,2.60,2.49,2.54,72000,2.54
2016-12-19,2.44,2.58,2.42,2.49,94900,2.49
2016-12-16,2.60,2.60,2.40,2.44,80900,2.44
2016-12-15,2.41,2.76,2.38,2.55,56600,2.55
2016-12-14,2.36,2.41,2.30,2.36,82500,2.36
2016-12-13,2.90,2.90,2.06,2.29,455900,2.29
2016-12-12,3.12,3.47,3.12,3.47,3700,3.47
2016-12-09,3.00,3.21,3.00,3.11,34200,3.11
2016-12-08,2.90,3.28,2.90,3.10,26500,3.10
2016-12-07,3.10,3.10,2.91,3.06,10100,3.06
2016-12-06,2.99,3.10,2.99,3.10,3400,3.10
2016-12-05,4.01,4.01,4.01,4.01,000,4.01
2016-12-02,4.01,4.01,4.01,4.01,000,4.01
